location,duration,entry_score,course_qualification,area_study,course_name,university_name,course_fee,course_link,intakes
Australia,2 Year(s),6.0 IELTS,Masters Degree (Coursework),accounting,Master of Professional Accounting (Advanced),Murdoch University,"AUD 65,606",/global/Categories/Murdoch-University/Master-of-Professional-Accounting-Advanced/p/PRG-AU-00063024,"january,feb,may,july,august"
Australia,2 Year(s),6.5 IELTS,Masters Degree (Coursework),accounting,Master of Professional Accounting,King's Own Institute,"AUD 33,000",/global/Categories/All-Accounting/Accounting/Master-of-Professional-Accounting/p/PRG-AU-00207784,"march,july,november"
Australia,2 Year(s),6.5 IELTS,Masters Degree (Coursework),accounting,Master of Professional Accounting - Master of Business Administration,James Cook University,"AUD 78,240",/global/Categories/James-Cook-University/Master-of-Professional-Accounting-Master-of-Business-Administration/p/PRG-AU-00062667,"feb,march,july,november"
Australia,4 Year(s),7.0 IELTS,Dual Degree,accounting,Bachelor of Commerce / Bachelor of Arts - Accounting,The University of New South Wales,"AUD 163,680",/global/Categories/The-University-of-New-South-Wales/Bachelor-of-Commerce-Bachelor-of-Arts-Accounting/p/PRG-AU-00291809,"feb,may,september"
Australia,4 Year(s),7.0 IELTS,Dual Degree,accounting,Bachelor of Commerce/Bachelor of Science - Taxation,The University of New South Wales,"AUD 185,280",/global/Categories/All-Accounting/Accounting/Bachelor-of-CommerceBachelor-of-Science-Taxation/p/PRG-AU-00291775,"feb,may,september"
Australia,3 Year(s),6.0 IELTS,Bachelor Degree,accounting,Bachelor of Accounting,AIH Higher Education,,/global/Categories/AIH-Higher-Education/Bachelor-of-Accounting/p/PRG-AU-00058921,"march,july,november"
United Kingdom,3 Year(s),6.5 IELTS,Bachelor Degree with Honours,accounting,BSc (Hons) Accounting and Finance,University of Exeter,"GBP 54,600",/global/Categories/University-of-Exeter/BSc-Hons-Accounting-and-Finance/p/PRG-UK-00067543,"january,september"
United Kingdom,3 Year(s),6.0 IELTS,Bachelor Degree with Honours,accounting,BSc (Hons) Accounting and Finance,Coventry University,"GBP 45,000",/global/Categories/Coventry-University/BSc-Hons-Accounting-and-Finance/p/PRG-UK-00082360,"january,september"
Australia,3 Year(s),6.5 IELTS,Bachelor Degree,accounting,Bachelor of Accounting,Monash University,"AUD 135,000",/global/Categories/Monash-University/Bachelor-of-Accounting/p/PRG-AU-00262394,"feb,march,june,july"
Australia,3 Year(s),6.0 IELTS,Bachelor Degree,accounting,Bachelor of Commerce (Accounting),Edith Cowan University,"AUD 95,550",/global/Categories/Edith-Cowan-University/Bachelor-of-Commerce-Accounting/p/PRG-AU-00302377,"feb,july"
United Kingdom,1 Year(s),6.0 IELTS,Masters Degree (Taught),accounting,MSc Professional Accountancy,University of Dundee,"GBP 18,150",/global/Categories/University-of-Dundee/MSc-Professional-Accountancy/p/PRG-UK-00094001,"january,september"
United Kingdom,15 Month(s),6.5 IELTS,Masters Degree (Taught),accounting,Master of Science in Accounting and Business Management,Brunel University,"GBP 22,344",/global/Categories/Brunel-University/Master-of-Science-in-Accounting-and-Business-Management/p/PRG-UK-00338756,"january,september"
United Kingdom,1 Year(s),6.5 IELTS,Masters Degree (Taught),accounting,Master of Science in Accounting and Finance,University of Essex,"GBP 18,460",/global/Categories/All-Accounting/Accounting/Master-of-Science-in-Accounting-and-Finance/p/PRG-UK-00070517,october
Australia,3 Year(s),6.0 IELTS,Bachelor Degree,accounting,Bachelor of Accounting,University of Canberra,"AUD 96,900",/global/Categories/University-of-Canberra/Bachelor-of-Accounting/p/PRG-AU-00286181,"feb,august"
United Kingdom,1 Year(s),6.5 IELTS,Masters Degree (Taught),accounting,MSc Accounting and Taxation,University of Exeter,"GBP 24,200",/global/Categories/University-of-Exeter/MSc-Accounting-and-Taxation/p/PRG-UK-00203778,"january,september"
United Kingdom,1 Year(s),6.5 IELTS,Masters Degree (Taught),accounting,Master of Science in Accounting and Business Management,Brunel University,"GBP 17,875",/global/Categories/Brunel-University/Master-of-Science-in-Accounting-and-Business-Management/p/PRG-UK-00097784,"january,september"
United Kingdom,3 Year(s),6.5 IELTS,Bachelor Degree with Honours,accounting,BSc (Hons) Accounting and Finance,University of Reading,"GBP 62,490",/global/Categories/University-of-Reading/BSc-Hons-Accounting-and-Finance/p/PRG-UK-00120877,september
Australia,3 Year(s),6.0 IELTS,Dual Degree,accounting,Bachelor of Business/Bachelor of Accounting and Finance,Flinders University,"AUD 101,100",/global/Categories/Flinders-University/Bachelor-of-BusinessBachelor-of-Accounting-and-Finance/p/PRG-AU-00362725,"march,july"
United Kingdom,4 Year(s),6.0 IELTS,Bachelor Degree with Honours,accounting,BSc (Hons) Accounting and Finance (Study Abroad or Work Placement),Coventry University,"GBP 60,000",/global/Categories/Coventry-University/BSc-Hons-Accounting-and-Finance-Study-Abroad-or-Work-Placement/p/PRG-UK-00374953,september
Australia,3 Year(s),6.0 IELTS,Bachelor Degree,accounting,Bachelor of Commerce (Accounting and Finance),Edith Cowan University,"AUD 95,550",/global/Categories/Edith-Cowan-University/Bachelor-of-Commerce-Accounting-and-Finance/p/PRG-AU-00302380,"feb,july"
Australia,3 Year(s),6.5 IELTS,Bachelor Degree,accounting,Bachelor of Commerce in Accounting,The University of Melbourne,"AUD 125,520",/global/Categories/The-University-of-Melbourne/Bachelor-of-Commerce-in-Accounting/p/PRG-AU-00259905,"march,july,august"
Australia,3 Year(s),6.5 IELTS,Bachelor Degree,accounting,Bachelor of Business - Accounting [1632],Griffith University,"AUD 85,500",/global/Categories/All-Accounting/Accounting/Bachelor-of-Business-Accounting-1632/p/PRG-AU-00337444,"feb,july,october,november"
