location,duration,entry_score,course_qualification,area_study,course_name,university_name,course_fee,course_link,intakes
Australia,2 Year(s),6.5 IELTS,Masters Degree (Coursework),accounting,Master of Professional Accounting,Monash University,"AUD 91,600",/global/Categories/Monash-University/Master-of-Professional-Accounting/p/PRG-AU-00202965,"feb,march,june,july"
United Kingdom,1 Year(s),6.5 IELTS,Masters Degree (Taught),accounting,Accounting and Finance MSc,University of Nottingham,"GBP 30,000",/global/Categories/University-of-Nottingham/Accounting-and-Finance-MSc/p/PRG-UK-00157853,september
United Kingdom,16 Month(s),7.0 IELTS,Masters Degree (Taught),accounting,MSc Accounting and Finance Pathway 3,University of Birmingham,"GBP 42,968",/global/Categories/University-of-Birmingham/MSc-Accounting-and-Finance-Pathway-3/p/PRG-UK-00364502,september
Australia,2 Year(s),6.5 IELTS,Masters Degree (Coursework),accounting,Master of Accounting,The Australian National University,"AUD 88,940",/global/Categories/The-Australian-National-University/Master-of-Accounting/p/PRG-AU-00063908,"feb,july"
United Kingdom,1 Year(s),7.0 IELTS,Masters Degree (Taught),accounting,MSc Accounting and Finance Pathway 2,University of Birmingham,"GBP 29,733",/global/Categories/University-of-Birmingham/MSc-Accounting-and-Finance-Pathway-2/p/PRG-UK-00364501,september
Australia,2 Year(s),7.0 IELTS,Masters Degree (Coursework),accounting,Master of Professional Accounting,The University of Sydney,"AUD 103,000",/global/Categories/The-University-of-Sydney/Master-of-Professional-Accounting/p/PRG-AU-00100722,"feb,march,august"
United Kingdom,1 Year(s),7.0 IELTS,Masters Degree (Taught),accounting,Accounting and Financial Management MSc,Lancaster University,"GBP 23,000",/global/Categories/Lancaster-University/Accounting-and-Financial-Management-MSc/p/PRG-UK-00077559,october
United Kingdom,1 Year(s),6.5 IELTS,Masters Degree (Taught),accounting,MSc International Accounting and Finance (Pathway 2),University of Birmingham,"GBP 23,580",/global/Categories/University-of-Birmingham/MSc-International-Accounting-and-Finance-Pathway-2/p/PRG-UK-00274914,september
Australia,2 Year(s),7.0 IELTS,Masters Degree (Coursework),accounting,Master of Commerce (Extension) - Accounting,The University of New South Wales,"AUD 96,480",/global/Categories/The-University-of-New-South-Wales/Master-of-Commerce-Extension-Accounting/p/PRG-AU-00063117,"feb,may,june,september"
Australia,3 Year(s),,Bachelor Degree,accounting,Bachelor of Commerce - Accounting,The University of Queensland,"AUD 130,992",/global/Categories/All-Accounting/Accounting/Bachelor-of-Commerce-Accounting/p/PRG-AU-00061334,"feb,july"
New Zealand,16 Month(s),6.5 IELTS,Masters Degree (Taught),accounting,Master of Professional Accounting,Victoria University of Wellington,"NZD 41,322",/global/Categories/All-Accounting/Accounting/Master-of-Professional-Accounting/p/PRG-NZ-00074857,"feb,november"
Australia,3 Year(s),6.0 IELTS,Bachelor Degree,accounting,Bachelor of Commerce (Accounting),Deakin University,"AUD 107,400",/global/Categories/Deakin-University/Bachelor-of-Commerce-Accounting/p/PRG-AU-00201663,"march,july,november"
Australia,2 Year(s),,Masters Degree (Coursework),accounting,Master of Commerce - Professional Accounting,The University of Queensland,"AUD 88,544",/global/Categories/All-Accounting/Accounting/Master-of-Commerce-Professional-Accounting/p/PRG-AU-00115745,"feb,july"
Australia,2 Year(s),7.0 IELTS,Masters Degree (Coursework),accounting,Master of Professional Accounting (Extension),The University of New South Wales,"AUD 96,480",/global/Categories/The-University-of-New-South-Wales/Master-of-Professional-Accounting-Extension/p/PRG-AU-00063352,"feb,may,june,september"
Australia,2 Year(s),6.5 IELTS,Masters Degree (Coursework),accounting,Master of Accounting and Finance,The University of Adelaide,"AUD 92,000",/global/Categories/The-University-of-Adelaide/Master-of-Accounting-and-Finance/p/PRG-AU-00061616,"march,july"
Australia,2 Year(s),6.5 IELTS,Masters Degree (Coursework),accounting,Master of Professional Accounting,La Trobe University,"AUD 78,000",/global/Categories/La-Trobe-University/Master-of-Professional-Accounting/p/PRG-AU-00109432,"march,july,november"
New Zealand,1 Year(s),6.5 IELTS,Masters Degree (Taught),accounting,Master of Business - Accounting,AUT,"NZD 49,995",/global/Categories/All-Accounting/Accounting/Master-of-Business-Accounting/p/PRG-NZ-00302727,"march,july"
Australia,2 Year(s),6.5 IELTS,Masters Degree (Coursework),accounting,Master of Professional Accounting [Extension],University of Technology Sydney,"AUD 85,536",/global/Categories/University-of-Technology-Sydney/Master-of-Professional-Accounting-Extension/p/PRG-AU-00065871,"feb,july,august"
New Zealand,3 Year(s),6.0 IELTS,Bachelor Degree,accounting,Bachelor of Commerce - Accounting,The University of Auckland,"NZD 115,881",/global/Categories/The-University-of-Auckland/Bachelor-of-Commerce-Accounting/p/PRG-NZ-00184368,"january,feb,march,july"
Australia,1 Year(s),7.0 IELTS,Masters Degree (Coursework),accounting,Master of Professional Accounting,The University of New South Wales,"AUD 82,008",/global/Categories/The-University-of-New-South-Wales/Master-of-Professional-Accounting/p/PRG-AU-00063767,"feb,may,june,september"
United Kingdom,3 Year(s),6.5 IELTS,Bachelor Degree with Honours,accounting,BSc (Hons) Accounting and Finance,University of Birmingham,"GBP 63,720",/global/Categories/University-of-Birmingham/BSc-Hons-Accounting-and-Finance/p/PRG-UK-00073231,september
New Zealand,15 Month(s),6.5 IELTS,Masters Degree (Taught),accounting,Master of Professional Accounting,University of Canterbury,"NZD 60,500",/global/Categories/University-of-Canterbury/Master-of-Professional-Accounting/p/PRG-NZ-00110485,"feb,august"
New Zealand,2 Year(s),6.5 IELTS,Masters Degree (Taught),accounting,Master of Professional Accountancy and Finance,Massey University,"NZD 67,620",/global/Categories/Massey-University/Master-of-Professional-Accountancy-and-Finance/p/PRG-NZ-00165260,"feb,july"
Australia,2 Year(s),6.5 IELTS,Masters Degree (Coursework),accounting,Master of Professional Accounting,University of South Australia,"AUD 75,400",/global/Categories/University-of-South-Australia/Master-of-Professional-Accounting/p/PRG-AU-00119400,"feb,march,july"
New Zealand,16 Month(s),6.5 IELTS,Masters Degree (Taught),accounting,Master of Professional Accounting,AUT,"NZD 66,660",/global/Categories/All-Accounting/Accounting/Master-of-Professional-Accounting/p/PRG-NZ-00074960,"march,october"
Australia,3 Year(s),6.5 IELTS,Bachelor Degree,accounting,Bachelor of Business (Accountancy),RMIT University,"AUD 109,440",/global/Categories/RMIT-University/Bachelor-of-Business-Accountancy/p/PRG-AU-00061789,"feb,march,june,july"
Australia,2 Year(s),6.5 IELTS,Masters Degree (Coursework),accounting,Master of Professional Accounting,The University of Western Australia,"AUD 88,000",/global/Categories/The-University-of-Western-Australia/Master-of-Professional-Accounting/p/PRG-AU-00116223,"feb,july"
United Kingdom,1 Year(s),6.5 IELTS,Masters Degree (Taught),accounting,Accounting and Finance (MSc),Cardiff University,"GBP 23,450",/global/Categories/Cardiff-University/Accounting-and-Finance-MSc/p/PRG-UK-00069990,october
